Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score,ROC-AUC,Accuracy Gap,Overfitting Assessment
Gradient Boosting,0.7601214574898786,0.7152496626180836,0.6901408450704225,0.708092485549133,0.6990014265335235,0.7769188556376675,0.044871794871794934,Low concern
Logistic Regression,0.6960188933873145,0.7044534412955465,0.7068403908794788,0.6271676300578035,0.664624808575804,0.773125045730592,-0.00843454790823206,Low concern
Random Forest,1.0,0.6950067476383266,0.6724137931034483,0.6763005780346821,0.6743515850144092,0.7496670812907001,0.3049932523616734,High concern
